Semester,Project,Reviewer,A,B,C,D,E,F,Total_AI_Findings,Human_Recall,AI_Unique_Rate,Human_Recall_Pct,AI_Unique_Rate_Pct
W21,02,Alex,6,1,7,0,2,0,14,0.3333,0.9286,33.3%,92.9%
W21,02,Charlie,11,0,3,1,2,0,15,0.3333,0.9333,33.3%,93.3%
W21,02,Doug,10,0,7,1,2,0,18,0.3333,0.9444,33.3%,94.4%
W21,02,Evan,7,1,5,0,2,0,13,0.3333,0.9231,33.3%,92.3%
W21,03,Alex,4,3,7,1,2,0,15,0.6667,0.7333,66.7%,73.3%
W21,03,Charlie,6,2,8,1,3,0,17,0.5,0.8235,50.0%,82.4%
W21,03,Doug,6,2,8,1,3,0,17,0.5,0.8235,50.0%,82.4%
W21,03,Evan,4,1,5,1,4,0,11,0.3333,0.8182,33.3%,81.8%
W21,04,Alex,8,0,7,0,5,0,15,0.0,1.0,0.0%,100.0%
W21,04,Charlie,6,0,9,0,5,0,15,0.0,1.0,0.0%,100.0%
W21,04,Doug,7,0,8,0,5,0,15,0.0,1.0,0.0%,100.0%
W21,04,Evan,3,0,6,0,5,0,9,0.0,1.0,0.0%,100.0%
W21,05,Alex,5,2,7,1,3,0,15,0.5,0.8,50.0%,80.0%
W21,05,Charlie,7,2,5,1,3,0,15,0.5,0.8,50.0%,80.0%
W21,05,Doug,6,2,7,0,4,0,15,0.3333,0.8667,33.3%,86.7%
W21,05,Evan,5,1,3,1,3,1,10,0.4,0.8,40.0%,80.0%
W21,07,Alex,5,1,8,1,2,0,15,0.5,0.8667,50.0%,86.7%
W21,07,Charlie,6,2,7,0,2,0,15,0.5,0.8667,50.0%,86.7%
W21,07,Doug,5,2,8,0,2,0,15,0.5,0.8667,50.0%,86.7%
W21,07,Evan,3,1,5,1,2,0,10,0.5,0.8,50.0%,80.0%
W21,08,Alex,4,1,9,0,0,0,14,1.0,0.9286,100.0%,92.9%
W21,08,Charlie,6,1,8,0,0,0,15,1.0,0.9333,100.0%,93.3%
W21,08,Doug,8,1,7,0,0,0,16,1.0,0.9375,100.0%,93.8%
W21,08,Evan,4,0,5,1,0,0,10,1.0,0.9,100.0%,90.0%
W21,09,Alex,5,2,8,0,2,0,15,0.5,0.8667,50.0%,86.7%
W21,09,Charlie,8,2,5,0,2,0,15,0.5,0.8667,50.0%,86.7%
W21,09,Doug,4,1,9,0,3,0,14,0.25,0.9286,25.0%,92.9%
W21,09,Evan,4,1,9,0,3,0,14,0.25,0.9286,25.0%,92.9%
W21,10,Alex,7,1,7,0,7,0,15,0.125,0.9333,12.5%,93.3%
W21,10,Charlie,7,1,7,0,7,0,15,0.125,0.9333,12.5%,93.3%
W21,10,Doug,9,1,8,0,7,0,18,0.125,0.9444,12.5%,94.4%
W21,10,Evan,4,1,5,0,7,0,10,0.125,0.9,12.5%,90.0%
W21,12,Alex,6,1,7,1,5,0,15,0.2857,0.8667,28.6%,86.7%
W21,12,Charlie,3,3,10,0,4,0,16,0.4286,0.8125,42.9%,81.2%
W21,12,Doug,6,2,8,1,4,0,17,0.4286,0.8235,42.9%,82.4%
W21,12,Evan,1,1,8,1,5,0,11,0.2857,0.8182,28.6%,81.8%
W21,13,Alex,9,1,5,0,4,0,15,0.2,0.9333,20.0%,93.3%
W21,13,Charlie,6,1,7,1,3,0,15,0.4,0.8667,40.0%,86.7%
W21,13,Doug,8,1,8,0,4,0,17,0.2,0.9412,20.0%,94.1%
W21,13,Evan,4,1,7,0,4,0,12,0.2,0.9167,20.0%,91.7%
W21,14,Alex,6,0,6,3,2,0,15,0.6,0.8,60.0%,80.0%
W21,14,Charlie,5,1,8,1,3,0,15,0.4,0.8667,40.0%,86.7%
W21,14,Doug,5,1,9,0,4,0,15,0.2,0.9333,20.0%,93.3%
W21,14,Evan,5,1,4,1,3,0,11,0.4,0.8182,40.0%,81.8%
W21,15,Alex,6,0,9,0,3,0,15,0.0,1.0,0.0%,100.0%
W21,15,Charlie,5,1,9,0,2,0,15,0.3333,0.9333,33.3%,93.3%
